tarefa,tecnica,input_idx,acuracia,tokens_prompt,tokens_resposta,tempo_ms,resposta
classificacao_sentimento,zero_shot,0,1.0,125,3,27776,POSITIVO
classificacao_sentimento,zero_shot,1,1.0,128,4,13966,NEGATIVO
classificacao_sentimento,zero_shot,2,0.0,126,4,13894,NEUTRO
classificacao_sentimento,zero_shot,3,1.0,118,4,12410,NEUTRO
classificacao_sentimento,zero_shot,4,1.0,128,3,13501,POSITIVO
classificacao_sentimento,few_shot,0,1.0,187,3,27982,POSITIVO
classificacao_sentimento,few_shot,1,1.0,190,4,15771,NEGATIVO
classificacao_sentimento,few_shot,2,1.0,188,4,14971,MISTO
classificacao_sentimento,few_shot,3,1.0,180,4,12759,NEUTRO
classificacao_sentimento,few_shot,4,1.0,190,3,15204,POSITIVO
classificacao_sentimento,chain_of_thought,0,1.0,213,4,33843,POSITIVO
classificacao_sentimento,chain_of_thought,1,0.0,216,4,33795,NEUTRO
classificacao_sentimento,chain_of_thought,2,0.0,214,4,33570,NEUTRO
classificacao_sentimento,chain_of_thought,3,1.0,206,4,31382,NEUTRO
classificacao_sentimento,chain_of_thought,4,1.0,216,4,33891,POSITIVO
classificacao_sentimento,role_prompting,0,1.0,238,3,49508,POSITIVO
classificacao_sentimento,role_prompting,1,1.0,241,4,16879,NEGATIVO
classificacao_sentimento,role_prompting,2,0.0,239,4,16275,NEUTRO
classificacao_sentimento,role_prompting,3,1.0,231,4,14021,NEUTRO
classificacao_sentimento,role_prompting,4,1.0,241,3,17015,POSITIVO
extracao_dados,zero_shot,0,0.3333333333333333,143,75,48686,"```json
{
  ""produto"": ""Smartphone Samsung A54"",
  ""preco"": 1899.00,
  ""defeito"": ""Tela com risco profundo""
}
```

Essa resposta está no formato JSON solicitado, contendo as informações do produto, pr"
extracao_dados,zero_shot,1,0.6666666666666666,136,35,25047,"```json
{""produto"": ""Liquidificador Philco LQ900"", ""preco"": 320, ""defeito"": ""Nao liga""}
```"
extracao_dados,zero_shot,2,0.3333333333333333,139,70,37780,"```json
{
  ""produto"": ""Notebook Acer Aspire 5"",
  ""preco"": 3500,
  ""defeito"": ""Pixels mortos no canto direito da tela""
}
```

Essa resposta está em formato JSON e contém as informações solicitadas: p"
extracao_dados,zero_shot,3,0.0,134,39,27602,"```json
{""produto"": ""Fone de ouvido JBL Tune 510BT"", ""preco"": 250, ""defeito"": ""cabo USB-C""}
```"
extracao_dados,zero_shot,4,0.3333333333333333,134,66,36079,"```json
{
  ""produto"": ""Smart TV LG 50 polegadas"",
  ""preco"": 2799,
  ""defeito"": ""Mancha amarelada no canto inferior""
}
```

Essa resposta está em formato JSON, com os campos solicitados preenchidos."
extracao_dados,few_shot,0,0.3333333333333333,248,48,62228,"```json
{""produto"": ""Smartphone Samsung A54"", ""preco"": ""R$1899,00"", ""defeito"": ""tela com risco profundo desde que abri a caixa""}
```"
extracao_dados,few_shot,1,0.6666666666666666,241,46,35277,"```json
{""produto"": ""Liquidificador Philco LQ900"", ""preco"": ""R$320"", ""defeito"": ""n\u00e3o liga de jeito nenhum""}
```"
extracao_dados,few_shot,2,0.0,244,45,36310,"```json
{""produto"": ""Notebook Acer Aspire 5"", ""preco"": ""R\$3.500"", ""defeito"": ""pixels mortos no canto direito da tela""}
```"
extracao_dados,few_shot,3,0.6666666666666666,239,41,33377,"```json
{""produto"": ""Fone de ouvido JBL Tune 510BT"", ""preco"": ""R$250"", ""defeito"": ""sem cabo USB-C""}
```"
extracao_dados,few_shot,4,0.6666666666666666,239,44,34642,"```json
{""produto"": ""Smart TV LG 50 polegadas"", ""preco"": ""R$2799"", ""defeito"": ""mancha amarelada no canto inferior""}
```"
